felt_isolated,worried_become_ill,worried_finances,tested_positive
16.7020857,53.9915494,43.6042293,20.7049346
16.5069733,54.185521,42.6657659,21.2929114
16.2732936,53.6370693,42.972417,21.1666563
16.045504,52.4462226,42.907472,19.8966066
16.1342379,52.5603154,43.3219853,20.1784284
16.5239897,52.1852599,43.6001002,18.1318136
17.2615839,52.5441805,42.7503874,15.5174904
17.0182505,52.6215852,42.7074773,15.9616371
16.8420152,52.4918315,43.7751171,13.0685272
16.9152071,52.4020775,43.5346663,15.1780877
16.8530775,53.4555566,43.2154338,14.7806568
16.7666227,53.3422368,42.13318,15.2567446
15.823354,53.1511161,42.1348692,15.3424609
15.8948824,52.4111572,42.7049157,16.666583
15.90109,51.9012247,43.1496681,18.3334531
16.0736842,52.0955916,42.0371862,19.2308453
15.8995162,52.6269399,41.7183079,16.2834793
